"Plot","Date","minTemperature","maxTemperature","meanTemperature","Year","Accession","CO2_400","CO2_600","CO2_800","CO2_1000","CO2_1250","CO2_300","CO2_250","CO2_200","CO2_100","CO2_75","CO2_25"
2282,2021-08-20,16.3,23.4,19.85,2021,"SSA_00067",21.4921,26.1067,26.5817,25.7998,25.0301,15.8162,14.4795,12.2913,6.44979,5.20535,1.74125
1170,2021-08-23,14.3,20.6,17.45,2021,"SSA_00068",17.4366,25.0866,29.2727,30.5356,31.1478,11.1353,10.0477,8.75718,4.66913,3.85337,1.44476
1170,2021-08-23,14.3,20.6,17.45,2021,"SSA_00068",24.5885,31.5285,33.6162,32.8942,33.0116,16.4294,14.4359,11.9732,6.12161,4.98296,1.59765
2235,2021-08-18,15.3,20.1,17.7,2021,"SSA_00068",29.2966,34.6355,35.6045,34.7523,34.7587,17.9324,16.8422,14.553,7.73915,6.32855,2.1387
2235,2021-08-18,15.3,20.1,17.7,2021,"SSA_00068",25.6078,33.9541,36.2204,35.3302,35.4319,16.9004,15.0553,12.8549,6.62803,5.50742,1.7644
2235,2021-08-18,15.3,20.1,17.7,2021,"SSA_00068",26.4209,36.2029,39.3779,39.8612,40.0216,17.4316,15.3566,13.0734,6.90902,5.78375,2.1559
1249,2021-08-20,16.3,23.4,19.85,2021,"SSA_00070",47.0661,52.6868,53.4896,53.7494,54.2021,31.8079,28.2048,23.6764,12.2634,9.53939,3.25053
1249,2021-08-20,16.3,23.4,19.85,2021,"SSA_00070",23.0816,30.7751,31.6606,29.5763,29.021,15.7987,14.3139,12.2363,6.68569,5.49123,2.19303
2238,2021-08-18,15.3,20.1,17.7,2021,"SSA_00070",35.0863,39.8936,40.0562,39.3519,39.4688,23.6484,21.453,18.6354,9.91244,8.12305,2.83753
2238,2021-08-18,15.3,20.1,17.7,2021,"SSA_00070",32.9505,43.1782,45.716,44.2415,42.5661,21.1951,19.0894,16.4188,8.86736,7.20831,2.4823
2238,2021-08-18,15.3,20.1,17.7,2021,"SSA_00070",17.6937,24.2548,25.2487,24.3667,23.8787,12.4651,11.3136,10.1164,5.4215,4.58497,1.71609
1181,2021-08-19,13.8,22.3,18.05,2021,"SSA_00075",31.5158,39.8795,42.3858,42.7713,43.123,19.4516,17.4346,14.8457,7.78443,6.33165,2.09344
1181,2021-08-19,13.8,22.3,18.05,2021,"SSA_00075",33.7105,41.1292,41.0423,40.1926,40.0076,22.1944,19.668,16.5385,8.62254,6.74048,2.38891
1181,2021-08-19,13.8,22.3,18.05,2021,"SSA_00075",29.7851,38.1814,38.9624,37.7883,37.4152,18.1405,16.7569,14.6337,7.98503,6.46227,2.57466
2177,2021-08-19,13.8,22.3,18.05,2021,"SSA_00075",25.8883,34.899,37.4983,37.393,36.8564,15.8486,14.3577,12.1745,6.43109,5.26276,2.03113
2177,2021-08-19,13.8,22.3,18.05,2021,"SSA_00075",24.5103,35.9067,41.4653,43.8577,45.1535,19.8084,18.0996,15.7391,8.36256,7.0691,2.37592
2177,2021-08-19,13.8,22.3,18.05,2021,"SSA_00075",34.4016,43.4454,45.4439,46.6922,46.9189,23.6417,21.5595,18.3662,9.504,7.5244,2.49056
1031,2021-09-01,13.3,17.9,15.6,2021,"SSA_00078",21.4998,26.6413,26.668,25.6123,26.651,15.7537,13.9664,12.1718,6.45922,5.3334,1.51281
1031,2021-09-01,13.3,17.9,15.6,2021,"SSA_00078",27.3657,33.564,34.7686,34.6082,35.3687,18.7195,16.9693,14.5936,7.7533,6.23769,1.97084
2051,2021-09-02,13.7,19.1,16.4,2021,"SSA_00078",15.8296,20.2534,21.2072,21.4386,21.716,11.6374,10.4558,8.99812,4.49776,3.59463,0.756221
2051,2021-09-02,13.7,19.1,16.4,2021,"SSA_00078",18.3099,20.6032,21.0241,21.2914,21.1687,14.0707,12.5794,11.0148,5.93843,4.85408,1.4155
1294,2021-08-20,16.3,23.4,19.85,2021,"SSA_00079",38.6686,47.9885,49.8334,50.8355,51.0874,23.0475,20.2807,17.2229,9.08873,7.30143,2.5209
1294,2021-08-20,16.3,23.4,19.85,2021,"SSA_00079",24.9887,32.9903,35.9175,36.7051,36.6765,15.1359,13.3867,11.3755,5.64296,4.55454,1.52936
1294,2021-08-20,16.3,23.4,19.85,2021,"SSA_00079",23.4531,29.4823,31.0814,31.8068,32.0722,13.9799,12.181,10.228,5.41596,4.2851,1.61438
2042,2021-08-19,13.8,22.3,18.05,2021,"SSA_00079",39.8977,51.187,53.9761,55.0824,55.2386,28.4102,24.7207,20.7669,10.8273,8.71569,3.07214
2042,2021-08-19,13.8,22.3,18.05,2021,"SSA_00079",32.5626,42.4322,45.1603,45.8066,45.8061,17.7881,15.9114,13.4739,7.00396,5.45184,1.76502
2234,2021-08-25,13.9,18.4,16.15,2021,"SSA_00080",30.1325,34.4723,35.1643,34.8688,35.0768,21.3393,19.8005,17.1875,9.17121,7.31883,2.61211
2234,2021-08-25,13.9,18.4,16.15,2021,"SSA_00080",32.085,39.509,41.9194,42.1331,42.3998,22.8338,21.1137,18.3867,9.51917,7.67877,2.66968
2234,2021-08-25,13.9,18.4,16.15,2021,"SSA_00080",34.1053,39.3011,40.3072,40.5616,40.8562,24.7067,22.5856,19.901,10.7727,8.85008,3.11837
1092,2021-08-24,11,23,17,2021,"SSA_00083",27.9527,38.1879,42.5535,43.5615,44.2493,16.2812,14.7016,12.8738,6.64953,5.27459,1.84115
1092,2021-08-24,11,23,17,2021,"SSA_00083",16.3784,24.2046,27.0273,25.3945,24.8721,11.3456,10.0856,8.76546,4.60073,4.0226,1.52067
2203,2021-08-25,13.9,18.4,16.15,2021,"SSA_00083",26.3698,36.5852,41.8698,43.2701,43.9309,15.7505,14.0528,12.2471,6.30003,5.16718,1.67654
2203,2021-08-25,13.9,18.4,16.15,2021,"SSA_00083",23.8334,32.2798,35.8722,37.4083,38.0931,15.193,13.7486,11.8385,6.04747,4.98257,1.61928
2203,2021-08-25,13.9,18.4,16.15,2021,"SSA_00083",15.7626,22.6688,26.456,28.0022,28.717,10.2892,9.02124,7.70595,3.94694,3.25645,0.92495
1086,2021-08-26,14.1,17.5,15.8,2021,"SSA_00091",29.8477,40.1935,43.631,43.981,44.2059,16.8917,15.399,13.1233,6.68293,5.37284,1.62063
1086,2021-08-26,14.1,17.5,15.8,2021,"SSA_00091",27.4097,33.9893,35.296,34.9206,34.6836,19.3568,17.6548,15.2768,8.1676,6.59828,2.51763
1086,2021-08-26,14.1,17.5,15.8,2021,"SSA_00091",32.8811,40.8641,41.4045,40.4807,40.0715,22.5115,20.7564,17.5097,9.10554,7.08317,2.23234
2113,2021-08-25,13.9,18.4,16.15,2021,"SSA_00091",31.1951,40.932,43.4919,43.5559,43.6803,19.3357,17.0931,14.2922,7.34772,5.86941,1.9657
2113,2021-08-25,13.9,18.4,16.15,2021,"SSA_00091",23.8133,29.135,29.7491,29.4585,28.9654,17.4913,15.327,12.8628,6.52258,5.0342,1.62453
2113,2021-08-25,13.9,18.4,16.15,2021,"SSA_00091",23.3933,27.9932,28.9023,28.7956,28.8121,13.516,12.4009,10.6035,5.67753,4.60211,1.80239
1240,2021-09-01,13.3,17.9,15.6,2021,"SSA_00096",31.4996,39.0649,40.4913,40.1828,39.9375,20.2465,17.9108,15.1628,7.84126,6.31939,2.20551
