Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00240,27.5498,27.7644,28.0754,28.3803,28.6957,28.0666,27.9435,27.9938,18.1738,14.3375,4.8378,21.7279,20.3023,15.5187,6.00764,-0.118753,-1.85377,25.8999,26.0837,26.3646,26.6405,26.9268,26.3633,26.2651,26.321,17.2447,13.7483,4.63384,21.7279,20.3023,15.5187,6.00764,-0.118753,-1.85377
SSA_00241,11.9934,12.0842,12.2857,12.4975,12.7256,12.7308,12.965,13.4695,11.3737,8.94146,3.10502,9.75766,9.17281,6.54566,1.11995,-1.27003,-2.00717,12.2238,12.3208,12.5271,12.7442,12.9779,12.9842,13.226,13.7532,11.5925,9.03255,3.13734,9.75766,9.17281,6.54566,1.11995,-1.27003,-2.00717
SSA_00254,18.7849,18.8587,19.0874,19.3248,19.5788,19.5146,19.6917,20.2594,14.6468,11.5134,3.93591,15.0951,14.1561,10.5284,2.7434,-0.910903,-1.95513,18.9235,19.0227,19.2616,19.5075,19.7691,19.7096,19.8902,20.4791,14.7963,11.5629,3.95852,15.0951,14.1561,10.5284,2.7434,-0.910903,-1.95513
SSA_00262,22.81,22.9355,23.1943,23.4539,23.7264,23.4508,23.4976,23.8694,16.2092,12.7959,4.34645,18.7001,17.495,13.2881,4.24895,-0.562713,-1.90865,23.5685,23.7036,23.9778,24.2524,24.54,24.2395,24.2841,24.6686,16.6882,13.1132,4.45206,18.7001,17.495,13.2881,4.24895,-0.562713,-1.90865
SSA_00271,17.9914,18.0758,18.319,18.5725,18.8439,18.8398,19.0677,19.7649,14.5519,11.2609,3.8652,13.7439,12.8846,9.48105,2.27537,-1.01279,-1.96897,16.6103,16.6947,16.9087,17.1322,17.3722,17.3611,17.5662,18.1389,13.5951,10.6919,3.67217,13.7439,12.8846,9.48105,2.27537,-1.01279,-1.96897
SSA_00275,25.6247,25.8162,26.1024,26.3826,26.6727,26.1537,26.0762,26.1854,17.2258,13.6724,4.61831,21.2575,19.8686,15.193,5.69867,-0.201668,-1.86392,26.7076,26.8987,27.1937,27.4855,27.7891,27.2218,27.1301,27.2343,17.8043,14.0761,4.75136,21.2575,19.8686,15.193,5.69867,-0.201668,-1.86392
SSA_00279,24.5986,24.7728,25.0408,25.306,25.5824,25.1282,25.0851,25.2444,16.778,13.3696,4.51391,20.6661,19.3194,14.7691,5.32887,-0.298099,-1.87583,25.194,25.3668,25.6499,25.9285,26.2177,25.7494,25.6999,25.8697,17.1247,13.5638,4.58669,20.6661,19.3194,14.7691,5.32887,-0.298099,-1.87583
SSA_00286,19.719,19.8095,20.0501,20.2974,20.5604,20.4686,20.6289,21.1945,15.1001,11.8269,4.04166,15.7972,14.8039,11.0569,2.99887,-0.851977,-1.94679,19.118,19.2205,19.4551,19.6947,19.9485,19.8624,20.0186,20.5446,14.7482,11.5963,3.96469,15.7972,14.8039,11.0569,2.99887,-0.851977,-1.94679
SSA_00299,26.8331,27.0262,27.3251,27.6206,27.928,27.3637,27.2729,27.3899,17.8936,14.1217,4.76833,21.1602,19.7811,15.131,5.64141,-0.21791,-1.86618,26.1146,26.3011,26.5996,26.8911,27.192,26.6529,26.5744,26.6819,17.5521,13.8847,4.69015,21.1602,19.7811,15.131,5.64141,-0.21791,-1.86618
SSA_00304,19.7747,19.8738,20.1228,20.3798,20.6534,20.5824,20.763,21.3977,15.2679,11.8862,4.06459,15.3219,14.3627,10.6926,2.82248,-0.891826,-1.95226,18.8034,18.8978,19.1254,19.3611,19.6128,19.5452,19.7159,20.2767,14.618,11.4936,3.9303,15.3219,14.3627,10.6926,2.82248,-0.891826,-1.95226
SSA_00312,25.9645,26.1565,26.4467,26.7295,27.0212,26.4621,26.3635,26.4251,17.3124,13.7592,4.64379,21.6619,20.2481,15.4922,5.97867,-0.129803,-1.85589,26.5024,26.6962,26.9857,27.2705,27.5663,26.9751,26.8699,26.9202,17.5941,13.9811,4.71317,21.6619,20.2481,15.4922,5.97867,-0.129803,-1.85589
SSA_00359,23.5687,23.7019,23.9664,24.2334,24.5147,24.2028,24.2418,24.6066,16.6279,13.1077,4.44568,18.8041,17.5928,13.3702,4.30201,-0.550506,-1.90718,22.4781,22.6228,22.8778,23.1326,23.3994,23.1219,23.1659,23.506,16.0177,12.6844,4.30641,18.8041,17.5928,13.3702,4.30201,-0.550506,-1.90718
SSA_00367,17.984,18.0736,18.3065,18.5504,18.8126,18.7966,19.0127,19.6719,14.4628,11.2482,3.85754,13.9522,13.0902,9.64985,2.34798,-0.997309,-1.96688,16.7609,16.8386,17.058,17.285,17.5272,17.512,17.7114,18.2689,13.6879,10.7452,3.69166,13.9522,13.0902,9.64985,2.34798,-0.997309,-1.96688
