Km1_CO2,Km2_HCO3,Km2_PEP,Km6_CO2,Km6_O2,Km7_PGA,Km10_GAP,Km12_DHAP,Km12_E4P,Km14_GAP,Ki18_Pi,Km18_ATP,Km18_Ru5P,Km33_NADP,Ki57,Vm2y22,Vm3y22,Vm4y22,Vm5y22,Vm6y22,Vm7_8y22,Jmaxy22,KaRac,tao_ActRubisco,Perm_CO2,BBslope,MRd,Vm2y23,Vm3y23,Vm4y23,Vm5y23,Vm6y23,Vm7_8y23,Jmaxy23
1.33764203324397,1.22189161023633,1.55062965845694,1.14268684008289,1.29549885860321,1.50538837719217,1.59738843373997,1.14218718149876,1.15841732648269,1.41993781537425,1.09918127074137,1.07788969110993,1.33566276588491,1.34756053001023,1.52417380983136,1.41458237533315,1.42597959498398,1.08231710611521,1.70870492058341,1.44571525596967,1.88984123738236,1.07119916647506,1.21124799577403,1.30643958601835,1.08333466904519,1.13705757746052,1.1677074054147,1.28253207722626,1.38060332172911,1.13142396487476,1.64164747200396,1.15238277491359,1.35178624358191,1.28214938400778
1.41115653603664,1.27554001023362,1.15285219508032,1.21648558282207,1.09837359274086,1.35477144886175,1.49467847692173,1.15202747208739,1.21987757402034,1.28191436198048,1.54264511611255,1.40474633499737,1.10710270812141,1.14757198242142,1.32170171965549,1.21553569977069,1.36368096818593,1.13020919185192,1.53483685639097,1.22070874224809,1.48066543746253,1.17256870671219,1.23606399817174,1.22037723821258,1.17908823493839,1.10493809338072,1.11863491408567,1.26299955862568,1.30717823797953,1.34765997453666,1.40768506429825,1.29323296401728,1.0574126736177,1.18904342554184
1.36986365950683,1.28341837248463,1.29271662924711,1.12814194447959,1.31220732830121,1.87936181195673,1.09340349489749,1.19967010068476,1.4097184641608,1.34478212262783,1.34057566245214,2.01104273979811,1.71665446114051,1.15245093887723,1.19586236815272,1.32902957413889,1.43546085971229,1.19581277534893,1.24305341430629,1.16100452871921,1.14604365206233,1.50430401981837,1.47530471223056,1.98251151353795,1.82116166133698,1.08851464557767,1.10044685744049,1.25619321003288,1.22518064707771,1.35742803329065,1.54685268767288,1.67439534072405,1.20578280360002,1.59815828345519
1.2380655387211,1.27621147495732,1.44989627069225,1.30177194976546,1.38772030824047,1.27964292984582,1.34009463087685,1.31965899256865,1.18768804673695,1.23616694337557,1.18252729118323,1.83592613827592,1.36536840027411,1.21580921332882,1.32608464240824,1.48574000724884,1.39453482843594,1.73184780388252,1.71537723404492,1.30421519539672,1.28739688593466,1.06418861410993,1.18977556217448,1.1276424751116,1.31188533593845,1.10053433530318,1.1883908435366,1.07402937020984,1.11162410386335,1.33164453047175,1.28853303242848,1.76864304082278,1.14855783802454,1.21152313935271
1.76730186363496,1.33299012097451,1.80863912813004,1.3939840605343,1.19247951136822,2.27256667582821,1.34491128554155,1.13894659921065,1.64080560230455,1.51318077638964,1.3679691214693,1.49053391649611,1.63947005967294,1.48412520976567,1.77064994321871,1.09744487993541,1.24234793750468,1.1064125942355,1.5681296738113,1.34598005446728,1.39300991128925,1.52087312038306,1.64969004660294,1.32669983077201,1.55695055812076,1.12409448328857,1.23510617274364,1.11181550235719,1.60784160352422,1.39542120677099,1.89806160306116,1.42197701222327,1.53895816050606,1.82444433740031
1.05087602154267,1.06533506280786,1.05155914507216,1.06623679413717,1.0783696473257,1.07595906097585,1.05282784363186,1.13781658425962,1.12586289125119,1.05845159081562,1.11985636222519,1.08786919891632,1.10689358465692,1.01707417682755,1.11839492585523,1.14750776585162,1.15616911227088,1.04761987964099,1.03197360295585,1.12146004371529,1.05300148861606,1.02077846149224,1.04301885347884,1.08261042954992,1.12845144567876,1.07122290157205,1.14407834513223,1.07398296200445,1.04036619144066,1.12419622835522,1.0392062644266,1.03920452008325,1.06040656828391,1.07220273673579
1.18763070526057,1.97921421747531,1.46720313827957,1.13695670033393,1.35014741083812,1.81760245047927,1.33313007071583,1.52643665081052,1.39018065652499,2.99566296764658,1.58087649492862,1.60619269800075,2.28251953922199,1.23239359241995,1.329221865669,1.1463929155519,1.46676845471372,1.07540763282015,1.76150051660592,1.08941289638789,1.21894407323216,1.42958825591145,1.72315516391459,1.76874824427652,1.76250636883099,1.08832224366234,1.24260707547616,1.42701090520984,2.17929835904708,1.21480067935363,2.34755797977283,1.91369157957958,1.10262094786893,1.55145290156302
1.51770246264458,1.44608848042413,1.09262254934683,1.29129230963227,1.19785079247452,1.13137551318832,1.27622661232064,1.14241290075079,1.18793883068451,1.16145959008329,1.11822301067766,1.38470737608178,1.29427157963518,1.31538847508826,1.30362913013464,1.24742964808257,1.24914781368756,1.24661328110511,1.24934439789873,1.26021765367766,1.045796668215,1.26198263259847,1.08682176807399,1.09585675326885,1.11879478312776,1.09847685533941,1.15425176431372,1.271334043802,1.33266905161824,1.49643888570512,1.1728124748297,1.5758259760663,1.2326618242384,1.10187010195715
1.18323976351566,1.22899418338031,1.15091512224845,1.62441125260794,1.20067728867808,1.25295881605628,1.44423076077868,1.23744956911137,1.10532488687336,1.32663801126259,1.26427036807251,1.40236041637319,1.14089195227348,1.19541708115904,1.30354281578732,1.16339458202103,1.39963083012111,1.20997059031317,1.07054948001639,1.22096481877991,1.39435313353795,1.26644108049087,1.58641549853577,1.33480948708306,1.61002340574622,1.10442580526438,1.14409479804454,1.20206110648429,1.23982057232355,1.09498860170814,1.22270324155797,1.28673994279098,1.23858191855056,1.09170154083674
1.5855537203911,2.47338743551491,2.08846580914816,1.47147638747156,1.88470322966666,2.07525483791032,1.79047044265997,1.83477526476449,1.48548430070616,1.17666165911834,1.5055090565671,1.13335507771811,1.88924380359915,1.39483069873359,1.42134451140985,1.21850546200736,1.18385463927338,1.12677280642858,1.20979176403123,1.41448274065332,1.65571080030428,1.66940282469459,1.71515749123844,1.35428824837254,1.23085509812738,1.10489417679327,1.26236607666062,1.43134630255196,1.36150794000195,1.47156451483284,1.27860880461148,1.19744387807164,1.3177388826677,1.4601378833753
1.57452633157186,1.18607321129375,1.16270307053848,1.23172018693228,1.19695761807074,1.18308532638504,1.21199795091545,1.33317621913122,1.25062833743233,1.78956148454562,1.18066504016797,1.39833542966405,1.39216345426238,1.45107738401695,1.17668465315893,1.08747805762862,1.12094135185968,1.19789304835245,1.47300035121695,1.04096366525527,1.41718755730508,1.29125506575708,1.35686661601447,1.16748938559471,1.34814119821574,1.06950872058908,1.06541403582196,1.27527129475363,1.29177516909765,1.38146400917047,1.28231211544034,1.15764839385061,1.26332844835893,1.3072303150483
1.3269161507308,1.19713503964831,1.20079895448098,1.29573111264914,1.18351026441002,1.46023481154384,1.1701652141327,1.37268325799582,1.21251908792645,1.06225980067728,1.34950583424933,1.3826615031614,1.42368122299207,1.23872645283053,1.13582662559009,1.1628261859409,1.15802359562855,1.50823408120988,1.25225594709248,1.09073106076812,1.26274711824294,1.14036355076406,1.21242618340679,1.49323492198893,1.17578246623194,1.08695918007648,1.26849511395082,1.24214407082534,1.17133531380748,1.51154568887377,1.43922509072587,1.18540263239076,1.4740501015105,1.09952860114913
1.80718904688218,1.50249688421983,2.23850150425824,2.03955313397103,1.53543003938093,2.28320920220663,2.3112165488465,1.587379412758,1.52917083700844,1.22530843792541,1.4312720460172,1.25822021899859,1.48193876735804,1.18026592724707,1.2693946076121,1.67547508006531,1.54574419729247,1.78361710517233,1.87586995649989,1.2147849829048,1.71552033120047,1.69307346916922,1.678818536137,1.3951879557259,2.53520980175381,1.16146366351431,1.10143347479387,1.49293721408985,1.72370867187139,1.42592084330746,1.22215649925041,1.49180607642689,1.37445698790519,1.49021622650909
1.41413444622057,1.43369526809917,1.34687509238628,1.07458926968617,1.26374483044862,1.16694824766024,1.40689692239513,1.24932621502322,1.10024161140738,1.38461876084617,1.05174182443543,1.07787292926285,1.30236598158512,1.12078729932187,1.22002877193903,1.34822446089883,1.31516199719144,1.10284903783673,1.02472234325791,1.04574705832373,1.39353905876266,1.11424031385985,1.12665059183457,1.03604401737477,1.13325128507371,1.05837646838901,1.21790103398941,1.03616188249818,1.1236726354643,1.05976441177248,1.21043511114833,1.05661420328925,1.05279683426232,1.05570439221892
1.4120470981057,1.46109624111499,1.57009019898792,1.54954837242509,2.01193499530557,1.17762983355381,1.31973228766598,1.61815967247684,1.70122424872836,1.46039020436835,1.20839886263941,1.33908825745346,1.72052012611041,1.25165900615279,1.38018484416148,1.11216865071548,1.19706852820886,1.28440399939603,1.10004988755212,1.1861523827909,1.18655266752,1.11664728536413,1.5224158661149,1.23610561923139,1.14038719298383,1.20445274650782,1.47704651676069,1.27803980349411,1.92828121279595,1.37142609063118,1.58295755792183,1.29279533013516,1.24891055550188,1.12218409787882
1.07799685800037,1.1286466283416,1.13497898558307,1.13041214289465,1.32265878168821,1.14839327415248,1.09153289027974,1.12130435356034,1.13106474504505,1.23047530818884,1.17117465734866,1.18456025386545,1.1712259269161,1.24656544620105,1.08473208735038,1.07537256351091,1.30132673609894,1.19499558956037,1.32668842430136,1.11611076177073,1.29917836429546,1.04880811707299,1.24329868799753,1.24617954416789,1.0480166846246,1.07075831263221,1.1040159510967,1.30501365449965,1.10200572026369,1.34590245593496,1.15581235836933,1.08697801785882,1.34826759001021,1.11033427044565
1.1513334484656,1.08435194688634,1.99614397748705,1.23055098048182,1.41795856297507,2.30894275138472,1.08323346363308,1.13130675701773,1.13274268477117,1.38070200128989,1.44501004769499,1.52517843813439,1.18631963654953,1.25282608712595,1.30518090403227,2.07949630966104,1.37803549820448,1.37160080344156,1.44888443531886,1.17620046205339,2.22851391094982,1.05094485611322,1.63494279198312,1.37794783268151,1.37652107465291,1.10244035897298,1.18520372131465,1.09913232685663,1.08372671083072,1.89504803415983,1.1513355007372,1.3059610532281,1.33562850305773,1.25828933626069
1.2417732880981,1.3715565186759,1.06395107051281,1.17413383219709,1.01586732483698,1.33543476017156,1.17772226889761,1.07754594405292,1.25051320230764,1.10862487532679,1.29858148715461,1.07291187237749,1.07929270099546,1.2984950367122,1.14025649541286,1.19322479959056,1.13261015855685,1.19381749744041,1.38995305374444,1.17073076760299,1.14854194925434,1.18184099401441,1.12542852434939,1.22559675787366,1.22263133943346,1.06571173715988,1.03111030974219,1.15542943186328,1.0868248663036,1.17927971235173,1.10523956926481,1.06171006926027,1.23193359262669,1.15427006987659
