Plot,Replication,Block,Column,Accession
2011,2,3,42,SSA_00050
2012,2,4,42,SSA_00016
2013,2,5,42,SSA_00068
2014,2,6,42,SSA_00242
2015,2,7,42,SSA_00166
2016,2,8,42,SSA_00099
2017,2,1,43,SSA_00230
2018,2,2,43,SSA_00114
2019,2,3,43,SSA_00191
2020,2,4,43,SSA_00148
2021,2,5,43,SSA_00064
2022,2,6,43,SSA_00386
2023,2,7,43,SSA_00337
2024,2,8,43,SSA_00122
2025,2,1,44,SSA_00110
2026,2,2,44,SSA_00013
2027,2,3,44,SSA_00024
2028,2,4,44,SSA_00032
2029,2,5,44,SSA_00285
2030,2,6,44,SSA_00277
2031,2,7,44,SSA_00085
2032,2,8,44,SSA_00130
2033,2,1,45,SSA_00222
2034,2,2,45,SSA_00010
2035,2,3,45,SSA_00224
2036,2,4,45,SSA_00160
2037,2,5,45,SSA_00366
2038,2,6,45,SSA_00353
2039,2,7,45,SSA_00128
2040,2,8,45,SSA_00036
2041,2,1,46,SSA_00131
2042,2,2,46,SSA_00302
2043,2,3,46,SSA_00007
2044,2,4,46,SSA_00403
2045,2,5,46,SSA_00312
2046,2,6,46,SSA_00081
2047,2,7,46,SSA_00150
2048,2,8,46,SSA_00080
2049,2,1,47,SSA_00341
2050,2,2,47,SSA_00213
2051,2,3,47,SSA_00252
2052,2,4,47,SSA_00103
2053,2,5,47,SSA_00125
2054,2,6,47,SSA_00004
2055,2,7,47,SSA_00088
2056,2,8,47,SSA_00238
2057,2,1,48,SSA_00061
2058,2,2,48,SSA_00136
2059,2,3,48,SSA_00111
2060,2,4,48,SSA_00101
2061,2,5,48,SSA_00060
2062,2,6,48,SSA_00294
2063,2,7,48,SSA_00265
2064,2,8,48,SSA_00281
2065,2,1,49,SSA_00169
2066,2,2,49,SSA_00037
2067,2,3,49,SSA_00229
2068,2,4,49,SSA_00314
2069,2,5,49,SSA_00255
2070,2,6,49,SSA_00054
2071,2,7,49,SSA_00344
2072,2,8,49,SSA_00296
2073,2,1,50,SSA_00300
2074,2,2,50,SSA_00009
2075,2,3,50,SSA_00266
2076,2,4,50,SSA_00096
2077,2,5,50,SSA_00031
2078,2,6,50,SSA_00048
2079,2,7,50,SSA_00241
2080,2,8,50,SSA_00304
2081,2,1,51,SSA_00291
2082,2,2,51,SSA_00087
2083,2,3,51,SSA_00218
2084,2,4,51,SSA_00132
2085,2,5,51,SSA_00113
2086,2,6,51,SSA_00035
2087,2,7,51,SSA_00129
2088,2,8,51,SSA_00140
2089,2,1,52,SSA_00094
2090,2,2,52,SSA_00249
2091,2,3,52,SSA_00023
2092,2,4,52,SSA_00057
2093,2,5,52,SSA_00188
2094,2,6,52,SSA_00283
2095,2,7,52,SSA_00211
2096,2,8,52,SSA_00315
2097,2,1,53,SSA_00354
2098,2,2,53,SSA_00228
2099,2,3,53,SSA_00343
2100,2,4,53,SSA_00267
2101,2,5,53,SSA_00209
2102,2,6,53,SSA_00168
2103,2,7,53,SSA_00227
2104,2,8,53,SSA_00127
2105,2,1,54,SSA_00107
2106,2,2,54,SSA_00157
2107,2,3,54,SSA_00258
2108,2,4,54,SSA_00015
2109,2,5,54,SSA_00198
2110,2,6,54,SSA_00155
2111,2,7,54,SSA_00197
2112,2,8,54,SSA_00190
2113,2,1,55,SSA_00297
2114,2,2,55,SSA_00275
2115,2,3,55,SSA_00034
2116,2,4,55,SSA_00376
2117,2,5,55,SSA_00020
2118,2,6,55,SSA_00309
2119,2,7,55,SSA_00091
2120,2,8,55,SSA_00271
2121,2,1,56,SSA_00233
2122,2,2,56,SSA_00254
2123,2,3,56,SSA_00149
2124,2,4,56,SSA_00120
2125,2,5,56,SSA_00040
2126,2,6,56,SSA_00243
2127,2,7,56,SSA_00139
2128,2,8,56,SSA_00153
2129,2,1,57,SSA_00079
2130,2,2,57,SSA_00161
2131,2,3,57,SSA_00118
2132,2,4,57,SSA_00142
2133,2,5,57,SSA_00043
2134,2,6,57,SSA_00286
2135,2,7,57,SSA_00078
2136,2,8,57,SSA_00318
2137,2,1,58,SSA_00014
2138,2,2,58,SSA_00134
2139,2,3,58,SSA_00005
2140,2,4,58,SSA_00311
2141,2,5,58,SSA_00174
2142,2,6,58,SSA_00212
2143,2,7,58,SSA_00290
2144,2,8,58,SSA_00279
2145,2,1,59,SSA_00086
2146,2,2,59,SSA_00156
2147,2,3,59,SSA_00268
2148,2,4,59,SSA_00030
2149,2,5,59,SSA_00058
2150,2,6,59,SSA_00067
2151,2,7,59,SSA_00075
2152,2,8,59,SSA_00346
2153,2,1,60,SSA_00187
2154,2,2,60,SSA_00225
2155,2,3,60,SSA_00253
2156,2,4,60,SSA_00002
2157,2,5,60,SSA_00216
2158,2,6,60,SSA_00204
2159,2,7,60,SSA_00097
2160,2,8,60,SSA_00018
2161,2,1,61,SSA_00262
2162,2,2,61,SSA_00049
2163,2,3,61,SSA_00359
2164,2,4,61,SSA_00145
2165,2,5,61,SSA_00144
2166,2,6,61,SSA_00203
2167,2,7,61,SSA_00126
2168,2,8,61,SSA_00202
2169,2,1,62,SSA_00317
2170,2,2,62,SSA_00194
2171,2,3,62,SSA_00246
2172,2,4,62,SSA_00182
2173,2,5,62,SSA_00093
2174,2,6,62,SSA_00292
2175,2,7,62,SSA_00076
2176,2,8,62,SSA_00219
2177,2,1,63,SSA_00077
2178,2,2,63,SSA_00022
2179,2,3,63,SSA_00171
2180,2,4,63,SSA_00287
2181,2,5,63,SSA_00307
2182,2,6,63,SSA_00039
2183,2,7,63,SSA_00105
2184,2,8,63,SSA_00207
2185,2,1,64,SSA_00063
2186,2,2,64,SSA_00138
2187,2,3,64,SSA_00070
2188,2,4,64,SSA_00248
2189,2,5,64,SSA_00339
2190,2,6,64,SSA_00137
2191,2,7,64,SSA_00033
2192,2,8,64,SSA_00176
2193,2,1,65,SSA_00073
2194,2,2,65,SSA_00098
2195,2,3,65,SSA_00316
2196,2,4,65,SSA_00124
2197,2,5,65,SSA_00170
2198,2,6,65,SSA_00119
2199,2,7,65,SSA_00162
2200,2,8,65,SSA_00102
2201,2,1,66,SSA_00028
2202,2,2,66,SSA_00301
2203,2,3,66,SSA_00164
2204,2,4,66,SSA_00184
2205,2,5,66,SSA_00235
2206,2,6,66,SSA_00092
2207,2,7,66,SSA_00369
2208,2,8,66,SSA_00210
2209,2,1,67,SSA_00158
2210,2,2,67,SSA_00001
2211,2,3,67,SSA_00245
2212,2,4,67,SSA_00276
2213,2,5,67,SSA_00089
2214,2,6,67,SSA_00143
2215,2,7,67,SSA_00244
2216,2,8,67,SSA_00072
2217,2,1,68,SSA_00193
2218,2,2,68,SSA_00062
2219,2,3,68,SSA_00284
2220,2,4,68,SSA_00167
2221,2,5,68,SSA_00027
2222,2,6,68,SSA_00274
2223,2,7,68,SSA_00082
2224,2,8,68,SSA_00247
2225,2,1,69,SSA_00338
2226,2,2,69,SSA_00234
2227,2,3,69,SSA_00367
2228,2,4,69,SSA_00116
2229,2,5,69,SSA_00306
2230,2,6,69,SSA_00263
2231,2,7,69,SSA_00250
2232,2,8,69,SSA_00240
2233,2,1,70,SSA_00278
2234,2,2,70,SSA_00006
2235,2,3,70,SSA_00090
2236,2,4,70,SSA_00257
2237,2,5,70,SSA_00272
2238,2,6,70,SSA_00026
2239,2,7,70,SSA_00056
2240,2,8,70,SSA_00295
2241,2,1,71,SSA_00046
2242,2,2,71,SSA_00019
2243,2,3,71,SSA_00115
2244,2,4,71,SSA_00069
2245,2,5,71,SSA_00299
2246,2,6,71,SSA_00223
2247,2,7,71,SSA_00052
2248,2,8,71,SSA_00293
2249,2,1,72,SSA_00308
2250,2,2,72,SSA_00220
2251,2,3,72,SSA_00282
2252,2,4,72,SSA_00280
2253,2,5,72,SSA_00100
2254,2,6,72,SSA_00269
2255,2,7,72,SSA_00017
2256,2,8,72,SSA_00313
2257,2,1,73,SSA_00152
2258,2,2,73,SSA_00108
2259,2,3,73,SSA_00186
2260,2,4,73,SSA_00104
2261,2,5,73,SSA_00008
2262,2,6,73,SSA_00112
2263,2,7,73,SSA_00261
2264,2,8,73,SSA_00146
2265,2,1,74,SSA_00395
2266,2,2,74,SSA_00288
2267,2,3,74,SSA_00041
2268,2,4,74,SSA_00237
2269,2,5,74,SSA_00273
2270,2,6,74,SSA_00259
2271,2,7,74,SSA_00239
2272,2,8,74,SSA_00051
2273,2,1,75,SSA_00042
2274,2,2,75,SSA_00151
2275,2,3,75,SSA_00029
2276,2,4,75,SSA_00011
2277,2,5,75,SSA_00236
2278,2,6,75,SSA_00231
2279,2,7,75,SSA_00215
2280,2,8,75,SSA_00221
2281,2,1,76,SSA_00059
2282,2,2,76,SSA_00003
2283,2,3,76,SSA_00289
2284,2,4,76,SSA_00189
2285,2,5,76,SSA_00175
2286,2,6,76,SSA_00095
2287,2,7,76,SSA_00380
2288,2,8,76,SSA_00305
2289,2,1,77,SSA_00199
2290,2,2,77,SSA_00200
2291,2,3,77,SSA_00205
2292,2,4,77,SSA_00065
2293,2,5,77,SSA_00172
2294,2,6,77,SSA_00053
2295,2,7,77,SSA_00179
2296,2,8,77,SSA_00135
2297,2,1,78,SSA_00084
2298,2,2,78,SSA_00066
2299,2,3,78,SSA_00045
2300,2,4,78,SSA_00217
2301,2,5,78,SSA_00232
2302,2,6,78,SSA_00021
2303,2,7,78,SSA_00177
2304,2,8,78,SSA_00071
2305,2,1,79,SSA_00208
2306,2,2,79,SSA_00121
2307,2,3,79,SSA_00133
2308,2,4,79,SSA_00178
2309,2,5,79,SSA_00106
2310,2,6,79,SSA_00109
2311,2,7,79,SSA_00183
2312,2,8,79,SSA_00141
2313,2,1,80,SSA_00298
2314,2,2,80,SSA_00185
2315,2,3,80,SSA_00303
2316,2,4,80,SSA_00159
2317,2,5,80,SSA_00181
2318,2,6,80,SSA_00173
2319,2,7,80,SSA_00044
2320,2,8,80,SSA_00196
